Date,^NDX_DCA,TQQQ_DCA,Invested,NoRebalance,MonthlyRebal,^NDX,TQQQ_real,TQQQ_sim,TQQQ_combined,^NDX_anchored,TQQQ_combined_anchored
2019-09-20,5384265.502882894,13706283.070356447,408000.0,10932277.491932496,22126550.038793243,7823.5498046875,7.569046974182129,7.054954049607968,7.569046974182129,69765.91624103117,297198.90972172574
2019-09-23,5380865.772995063,13719251.566126531,408000.0,10939789.913028885,22136227.623613294,7818.60986328125,7.576208591461182,7.041492158811172,7.576208591461182,69721.86468553681,297480.11088938115
2019-09-24,5306146.652673897,13176793.005027624,408000.0,10553244.483264577,21443916.567964252,7710.0400390625,7.276645660400391,6.748058238176765,7.276645660400391,68753.7014537759,285717.7613085171
2019-09-25,5370494.530183148,13598224.648713764,408000.0,10855648.216794545,21990116.176034015,7803.5400390625,7.509373664855957,6.993466526317952,7.509373664855957,69587.48066287968,294855.8350213415
2019-09-26,5348781.557269009,13462069.690426644,408000.0,10757640.583150353,21812427.365791984,7771.990234375,7.434184551239014,6.908545391159541,7.434184551239014,69306.13765539601,291903.53169093275
2019-09-27,5286560.149141017,12973640.340149079,408000.0,10411280.532715715,21195771.52499234,7681.580078125,7.164458274841309,6.667351863317605,7.164458274841309,68499.91189525617,281312.71946026076
2019-09-30,5333269.218524116,13319432.642936112,408000.0,10657378.434337545,21635867.31475068,7749.4501953125,7.3554158210754395,6.8439861641468775,7.3554158210754395,69105.13855440458,288810.6745842679
2019-10-01,5289322.0137058,12998413.469221717,409000.0,10428716.574352777,21225107.03819654,7684.14013671875,7.177586555480957,6.670853876671606,7.177586555480957,68522.74102498405,281828.2018857145
2019-10-02,5197531.4431912685,12332713.777796404,409000.0,9954319.904100753,20377646.67303712,7550.7900390625,6.809994220733643,6.323464456183021,6.809994220733643,67333.60157089056,267394.67524998233
2019-10-03,5257830.333723195,12739049.50449025,409000.0,10245310.030275188,20900639.94640163,7638.39013671875,7.034368515014648,6.543460661636215,7.034368515014648,68114.76884512845,276204.74022346624
2019-10-04,5337478.444338353,13275067.213549832,409000.0,10629204.555065613,21590686.67265761,7754.10009765625,7.330351829528809,6.8407401281787195,7.330351829528809,69146.6037084001,287826.53602807433
2019-10-07,5317537.007510229,13151868.68264807,409000.0,10540425.05207983,21429898.951257274,7725.1298828125,7.262322902679443,6.763971728837483,7.262322902679443,68888.2639990954,285155.3776962349
2019-10-08,5234343.99904696,12553174.443126779,409000.0,10113564.539061172,20666880.877246942,7604.27001953125,6.931730270385742,6.4464102298889046,6.931730270385742,67810.50526948008,272174.6457474363
2019-10-09,5293720.281766895,12933572.046269307,409000.0,10386955.04609688,21160403.8241715,7690.52978515625,7.141781806945801,6.665697112870792,7.141781806945801,68579.72023376127,280422.32710863807
2019-10-10,5328020.453872266,13216710.10560048,409000.0,10587147.151314048,21514508.052976914,7740.35986328125,7.2981276512146,6.795173841908027,7.2981276512146,69024.07620305156,286561.25247331127
2019-10-11,5399277.706918631,13711662.213385532,409000.0,10940867.65497603,22148627.097204916,7843.8798828125,7.57143497467041,7.067716605889084,7.57143497467041,69947.20818178069,297292.6746493253
2019-10-14,5398210.910126187,13726791.418186914,409000.0,10950598.193119338,22163669.793555558,7842.330078125,7.579789161682129,7.0634290953524985,7.579789161682129,69933.38791518594,297620.7021116945
2019-10-15,5467403.134976971,14247679.922445111,409000.0,11320921.285964938,22823261.000825346,7942.85009765625,7.86741828918457,7.334940076543225,7.86741828918457,70829.76761982619,308914.47045393335
2019-10-16,5451818.961418298,14141771.171139998,409000.0,11245120.724231154,22687123.238908008,7920.2099609375,7.808936595916748,7.2721161149200935,7.808936595916748,70627.87590552286,306618.1846022056
2019-10-17,5466914.438525738,14239033.305568613,409000.0,11314993.975624932,22813194.61037999,7942.14013671875,7.862643718719482,7.332422142472679,7.862643718719482,70823.43659662872,308726.9967678202
2019-10-18,5416218.063545203,13830536.140540414,409000.0,11025763.728685929,22300692.788893595,7868.490234375,7.637075901031494,7.128332902359136,7.637075901031494,70166.6691385887,299870.0680535651
2019-10-21,5465668.497848489,14195808.856576992,409000.0,11285762.361338818,22764473.898823798,7940.330078125,7.838775634765625,7.323480370686401,7.838775634765625,70807.29553542307,307789.81556754105
2019-10-22,5420437.523826342,13867281.455763496,409000.0,11051667.093345892,22346337.71694462,7874.6201171875,7.6573662757873535,7.1415629360513755,7.6573662757873535,70221.33190696628,300666.7703697029
2019-10-23,5430659.480615436,13932119.42455956,409000.0,11098299.726626832,22430593.288146093,7889.47021484375,7.693169116973877,7.181866804119495,7.693169116973877,70353.75653454855,302072.5702546646
2019-10-24,5483833.956651638,14331969.972711261,409000.0,11382591.595629236,22936997.1287605,7966.72021484375,7.913962364196777,7.392731491670478,7.913962364196777,71042.6275923375,310742.0252828065
2019-10-25,5526855.377392903,14658339.38934675,409000.0,11614511.689744916,23349828.614923958,8029.22021484375,8.0941801071167,7.566619756826266,8.0941801071167,71599.96663585608,317818.28163198824
2019-10-28,5582920.691240009,15105737.26315878,409000.0,11931465.38994639,23911859.276533596,8110.669921875,8.341228485107422,7.796785704632373,8.341228485107422,72326.28826484272,327518.64534195146
2019-10-29,5539444.856742165,14757762.098570632,409000.0,11684989.991905034,23474899.94744671,8047.509765625,8.149080276489258,7.614529871499054,8.149080276489258,71763.06232767698,319973.93881534523
2019-10-30,5563949.925217358,14965246.36204311,409000.0,11831481.196477722,23733545.45824574,8083.10986328125,8.263650894165039,7.715478234579462,8.263650894165039,72080.52351770742,324472.5583609144
2019-10-31,5564445.679870432,14976056.144332135,409000.0,11838852.969898563,23745976.111521285,8083.830078125,8.269619941711426,7.717433450425426,8.269619941711426,72086.9459793417,324706.93323385605
